filename,Color,Texture,Background,Orientation ,Optical Properties ,Reflection,Shape ,Lighting,DOP ,Category
45 degrees (black elevated).JPG,0,40,30,50,7,66,225,0,1,undefined
45 degrees (Black).JPG,0,40,30,50,7,66,225,0,1,2
45 degrees (elevate).JPG,0,40,20,50,7,66,225,0,1,2
45 degrees (Light) (2).JPG,0,40,20,50,7,66,225,1,1,2
45 degrees Light (black elevated).JPG,0,40,30,50,7,66,225,1,1,2
45 degrees Light (Black).JPG,0,40,30,50,7,66,225,1,1,2
45 degrees Light (elevated).JPG,0,40,20,50,7,66,225,1,1,2
45 degrees.JPG,0,40,20,50,7,66,225,1,1,2
135 degrees (elevated).JPG,0,40,20,50,7,66,225,0,1,2
135 degrees Light (elevated).JPG,0,40,20,50,7,66,225,1,1,2
135 degrees Light( black elevated).JPG,0,40,30,50,7,66,225,1,1,2
135 degrees Light(Black).JPG,0,40,30,50,7,66,225,1,1,2
135 degrees( black elevated).JPG,0,40,30,50,7,66,225,0,1,2
135 degrees(Black).JPG,0,40,30,50,7,66,225,0,1,2
135 degrees(Light).JPG,0,40,20,50,7,66,225,1,1,2
135 degrees.JPG,0,40,20,50,7,66,225,0,1,2
223 degrees (elevated).JPG,0,40,20,50,7,66,225,0,1,2
225 degrees (2).JPG,0,40,20,50,7,66,225,0,1,2
225 degrees (Black).JPG,0,40,30,50,7,66,225,0,1,2
225 degrees (elevated).JPG,0,40,20,50,7,66,225,0,1,2
225 degrees (Light).JPG,0,40,20,50,7,66,225,1,1,2
225 degrees Light (elevated).JPG,0,40,20,50,7,66,225,1,1,2
225 degrees Light( black elevated).JPG,0,40,30,50,7,66,225,1,1,2
225 degrees Light(Black).JPG,0,40,30,50,7,66,225,1,1,2
225 degrees Light(elevated).JPG,0,40,20,50,7,66,225,1,1,2
225 degrees(black elevated).JPG,0,40,30,50,7,66,225,0,1,2
315 degrees (black elevated).JPG,0,40,30,50,7,66,225,0,1,2
315 degrees (Black).JPG,0,40,30,50,7,66,225,0,1,2
315 degrees Light (black elevated).JPG,0,40,30,50,7,66,225,1,1,2
315 degrees Light(Black).JPG,0,40,30,50,7,66,225,1,1,2
315 degrees(Light).JPG,0,40,20,50,7,66,225,1,1,2
315 degrees.JPG,0,40,20,50,7,66,225,1,1,2
Front view (Light).JPG,0,40,20,50,7,66,225,1,1,2
Front view Light (Black).JPG,0,40,30,50,7,66,225,1,1,2
Front view(Black).JPG,0,40,30,50,7,66,225,0,1,2
Front view.JPG,0,40,20,50,7,66,225,0,1,2
Left side (Black).JPG,0,40,30,50,7,66,225,0,1,2
Left side (Light).JPG,0,40,20,50,7,66,225,1,1,2
Left side Light (Black).JPG,0,40,30,50,7,66,225,1,1,2
Left side.JPG,0,40,20,50,7,66,225,0,1,2
Right side (Light).JPG,0,40,20,50,7,66,225,1,1,2
Right side Light(Black).JPG,0,40,30,50,7,66,225,1,1,2
Right side(Black).JPG,0,40,30,50,7,66,225,0,1,2
Right side.JPG,0,40,20,50,7,66,225,0,1,2
Top view (Light).JPG,0,40,20,50,7,66,225,1,1,2
Top view( Black).JPG,0,40,30,50,7,66,225,1,1,2
Top view(Black).JPG,0,40,30,50,7,66,225,0,1,2
Top view.JPG,0,40,20,50,7,66,225,0,1,2
